law,data_seed,family,init,convergence,best_epoch,last_epoch,extended,parameters,training_seconds,validation_energy
bimodal,202,student_rank2,1701,validation_early_stop,170.0,210.0,True,2765.0,1.1255251669790596,0.5294443562061997
linear_gaussian,202,transformer_mdn4,2903,validation_early_stop,40.0,80.0,False,17900.0,1.7568243750138208,0.3124887753432966
heavy_tailed,202,transformer_mdn4,1701,validation_early_stop,80.0,120.0,False,17900.0,2.4882515000062995,0.3176730638044023
linear_gaussian,303,student_rank2,2903,validation_early_stop,70.0,110.0,False,2765.0,0.5996456670109183,0.2803526085428534
heavy_tailed,101,ridge,0,finite_grid_complete,,,,,0.006081125000491738,0.3078623737262245
nonlinear_heteroskedastic,202,mdn4,2903,validation_early_stop,10.0,50.0,False,8388.0,0.47008608299074695,0.3091162474250619
bimodal,202,mdn4,2903,validation_early_stop,60.0,100.0,False,8388.0,0.9486575410119258,0.5342001309948894
linear_gaussian,101,mdn4,2903,validation_early_stop,20.0,60.0,False,8388.0,0.6251472079893574,0.3058250029603474
nonlinear_heteroskedastic,202,gaussian_diag,2903,validation_early_stop,30.0,70.0,False,2566.0,0.24021512496983632,0.30811454563798146
nonlinear_heteroskedastic,303,edm,1701,validation_early_stop,50.0,90.0,False,2723.0,0.8991715419688262,0.3040614560801268
heavy_tailed,202,edm,2903,validation_early_stop,20.0,60.0,False,2723.0,0.5733746250043623,0.3313215817555944
bimodal,202,flow,1701,validation_early_stop,130.0,170.0,False,2659.0,1.5233119579497725,0.5183351732159399
nonlinear_heteroskedastic,202,flow,1701,validation_early_stop,70.0,110.0,False,2659.0,1.0405424589989707,0.3054794788248736
heavy_tailed,303,gaussian_diag,2903,validation_early_stop,50.0,90.0,False,2566.0,0.30487841699505225,0.25008590256785035
nonlinear_heteroskedastic,202,transformer_mdn4,2903,validation_early_stop,30.0,70.0,False,17900.0,1.4633070830022916,0.309882880275967
linear_gaussian,101,flow,1701,validation_early_stop,30.0,70.0,False,2659.0,0.7222841660259292,0.303013019649787
heavy_tailed,101,edm,1701,validation_early_stop,30.0,70.0,False,2723.0,0.6647638329886831,0.3103892211838018
linear_gaussian,303,edm,1701,validation_early_stop,40.0,80.0,False,2723.0,0.7752453749999404,0.29365536099994866
bimodal,202,gp_rbf,0,finite_grid_complete,,,,,0.19772487500449643,0.5729826703102758
bimodal,202,gaussian_diag,1701,validation_early_stop,40.0,80.0,False,2566.0,0.27290104201529175,0.5584650740273853
linear_gaussian,101,gaussian_diag,1701,validation_early_stop,30.0,70.0,False,2566.0,0.8045849580084905,0.30664676629550003
heavy_tailed,303,mdn4,2903,validation_early_stop,70.0,110.0,False,8388.0,1.028402958996594,0.24003207721045325
heavy_tailed,303,transformer_mdn4,1701,validation_early_stop,110.0,150.0,False,17900.0,3.15573299996322,0.24011119554938085
linear_gaussian,303,transformer_mdn4,2903,validation_early_stop,70.0,110.0,False,17900.0,2.4475346670369618,0.27913061556730556
heavy_tailed,101,student_rank2,1701,validation_early_stop,70.0,110.0,False,2765.0,0.5843162919627503,0.2975878215590666
heavy_tailed,303,flow,1701,validation_early_stop,50.0,90.0,False,2659.0,0.8001433750032447,0.24594506970518848
bimodal,101,transformer_mdn4,2903,validation_early_stop,70.0,110.0,False,17900.0,2.312211040989496,0.5140185788980296
bimodal,303,edm,2903,validation_early_stop,50.0,90.0,False,2723.0,0.8484932080027647,0.5613174300893569
heavy_tailed,303,student_rank2,2903,validation_early_stop,110.0,150.0,False,2765.0,0.7997755000251345,0.24130089490805712
linear_gaussian,101,ridge,0,finite_grid_complete,,,,,0.018552624969743192,0.2992143709696419
nonlinear_heteroskedastic,303,transformer_mdn4,2903,validation_early_stop,70.0,110.0,False,17900.0,2.2995188340428285,0.2754149898255872
linear_gaussian,303,flow,2903,validation_early_stop,50.0,90.0,False,2659.0,0.8185637499555014,0.28188785176537906
heavy_tailed,303,gaussian_rank2,2903,validation_early_stop,110.0,150.0,False,2764.0,0.7055036250385456,0.24420044959434303
nonlinear_heteroskedastic,101,gaussian_rank2,1701,validation_early_stop,50.0,90.0,False,2764.0,0.4794243330252357,0.3109420673582021
nonlinear_heteroskedastic,202,student_rank2,2903,validation_early_stop,20.0,60.0,False,2765.0,0.32317970896838233,0.30470650365384266
bimodal,202,gaussian_rank2,1701,validation_early_stop,130.0,170.0,False,2764.0,0.803808041033335,0.5332178948820282
linear_gaussian,303,gaussian_diag,2903,validation_early_stop,80.0,120.0,False,2566.0,0.4712232080055401,0.2852069150703934
nonlinear_heteroskedastic,101,gp_rbf,0,finite_grid_complete,,,,,0.19453137496020645,0.3141342888597737
linear_gaussian,303,mdn4,1701,validation_early_stop,40.0,80.0,False,8388.0,0.7878482090309262,0.28068054188269365
linear_gaussian,202,mdn4,1701,validation_early_stop,10.0,50.0,False,8388.0,0.49312854203162715,0.3113608763011363
linear_gaussian,101,transformer_mdn4,2903,validation_early_stop,60.0,100.0,False,17900.0,2.4320232910104096,0.3045844036143194
heavy_tailed,101,transformer_mdn4,1701,validation_early_stop,30.0,70.0,False,17900.0,1.47779062500922,0.29680255432205627
nonlinear_heteroskedastic,303,gp_rbf,0,finite_grid_complete,,,,,0.1941543749999255,0.29176455868660334
nonlinear_heteroskedastic,101,mdn4,1701,validation_early_stop,20.0,60.0,False,8388.0,0.5650432499824092,0.3106948893742258
heavy_tailed,202,gaussian_diag,1701,validation_early_stop,40.0,80.0,False,2566.0,0.2710637919954024,0.31934635020169216
bimodal,303,gaussian_rank2,2903,validation_early_stop,60.0,100.0,False,2764.0,0.47182825003983453,0.5464465052107983
bimodal,101,mdn4,1701,validation_early_stop,150.0,190.0,False,8388.0,1.8357398330117576,0.5084996233049832
linear_gaussian,101,gaussian_rank2,1701,validation_early_stop,50.0,90.0,False,2764.0,0.4717864170088433,0.3044509743640279
linear_gaussian,202,flow,2903,validation_early_stop,70.0,110.0,False,2659.0,1.0109970420016907,0.3023233154737937
linear_gaussian,202,student_rank2,1701,validation_early_stop,20.0,60.0,False,2765.0,0.32797837496036664,0.31027904555335056
bimodal,101,edm,2903,validation_early_stop,70.0,110.0,False,2723.0,1.0430968750151806,0.5486553779075249
heavy_tailed,202,gaussian_rank2,1701,validation_early_stop,50.0,90.0,False,2764.0,0.423972041986417,0.31561207781354894
bimodal,101,flow,2903,validation_early_stop,70.0,110.0,False,2659.0,0.9867739590117708,0.5139742996427599
bimodal,101,student_rank2,1701,validation_early_stop,160.0,200.0,True,2765.0,1.0657694999827072,0.5141684458042995
nonlinear_heteroskedastic,303,gaussian_diag,1701,validation_early_stop,80.0,120.0,False,2566.0,0.40779758302960545,0.28784275134291504
nonlinear_heteroskedastic,101,flow,2903,validation_early_stop,70.0,110.0,False,2659.0,0.9844463749905117,0.31052420606149655
nonlinear_heteroskedastic,101,transformer_mdn4,2903,validation_early_stop,50.0,90.0,False,17900.0,1.8873729999759234,0.31028317178115916
heavy_tailed,202,flow,1701,validation_early_stop,70.0,110.0,False,2659.0,0.9780142920208164,0.3139543471969875
nonlinear_heteroskedastic,202,ridge,0,finite_grid_complete,,,,,0.006209833023604006,0.317880391476672
bimodal,202,ridge,0,finite_grid_complete,,,,,0.0059741250006482005,0.5576906153065241
bimodal,303,student_rank2,2903,validation_early_stop,60.0,100.0,False,2765.0,0.5653732910286635,0.548313127264274
bimodal,303,transformer_mdn4,2903,validation_early_stop,40.0,80.0,False,17900.0,1.6607456249766983,0.5174050248927314
nonlinear_heteroskedastic,101,gaussian_diag,2903,validation_early_stop,80.0,120.0,False,2566.0,0.4104379169875756,0.3112957051611702
nonlinear_heteroskedastic,202,edm,2903,validation_early_stop,20.0,60.0,False,2723.0,0.5690910409903154,0.3224786117069077
linear_gaussian,101,edm,1701,validation_early_stop,80.0,120.0,False,2723.0,1.2827862920239568,0.3099998010383991
heavy_tailed,303,edm,1701,validation_early_stop,90.0,130.0,False,2723.0,1.2291769169969484,0.2594074424871508
heavy_tailed,202,mdn4,2903,validation_early_stop,20.0,60.0,False,8388.0,0.5630384579999372,0.31746053483640674
linear_gaussian,303,ridge,0,finite_grid_complete,,,,,0.005903957993723452,0.2788884964799804
nonlinear_heteroskedastic,303,student_rank2,1701,validation_early_stop,60.0,100.0,False,2765.0,0.5344643749995157,0.27855014913199894
bimodal,101,gaussian_diag,1701,validation_early_stop,30.0,70.0,False,2566.0,0.23908387497067451,0.5429420627523144
linear_gaussian,202,edm,2903,validation_early_stop,20.0,60.0,False,2723.0,0.5815495420247316,0.3192105024805391
nonlinear_heteroskedastic,303,flow,1701,validation_early_stop,50.0,90.0,False,2659.0,0.8035892919870093,0.28188397693978345
bimodal,303,flow,1701,validation_early_stop,80.0,120.0,False,2659.0,1.1143969999975525,0.5383773408651655
linear_gaussian,202,gaussian_diag,1701,validation_early_stop,20.0,60.0,False,2566.0,0.2171822499949485,0.31306076957379325
heavy_tailed,202,student_rank2,1701,validation_early_stop,50.0,90.0,False,2765.0,0.4807656249613501,0.3147145965195412
bimodal,303,mdn4,2903,validation_early_stop,60.0,100.0,False,8388.0,0.938353042001836,0.5164322056236443
nonlinear_heteroskedastic,303,mdn4,2903,validation_early_stop,60.0,100.0,False,8388.0,0.9892500830464996,0.27802607192489115
nonlinear_heteroskedastic,101,edm,1701,validation_early_stop,30.0,70.0,False,2723.0,0.7374497500131838,0.3244073686570395
linear_gaussian,303,gp_rbf,0,finite_grid_complete,,,,,0.202421041962225,0.28380887126318866
heavy_tailed,101,gp_rbf,0,finite_grid_complete,,,,,0.19443879195023328,0.3030585028241499
bimodal,202,edm,1701,validation_early_stop,60.0,100.0,False,2723.0,0.9484253749833442,0.5582636405396271
linear_gaussian,303,gaussian_rank2,1701,validation_early_stop,30.0,70.0,False,2764.0,0.3375465830322355,0.27936836398551296
bimodal,101,gaussian_rank2,2903,validation_early_stop,50.0,90.0,False,2764.0,0.4279967920156196,0.5185708347856883
nonlinear_heteroskedastic,101,student_rank2,2903,validation_early_stop,80.0,120.0,False,2765.0,0.6469623339944519,0.3049790728155115
bimodal,303,gaussian_diag,2903,validation_early_stop,90.0,130.0,False,2566.0,0.44217670802026987,0.5651351883324982
nonlinear_heteroskedastic,202,gaussian_rank2,2903,validation_early_stop,20.0,60.0,False,2764.0,0.2859773749951273,0.3051723985538294
heavy_tailed,303,ridge,0,finite_grid_complete,,,,,0.005769290961325169,0.2611094831946985
bimodal,202,transformer_mdn4,2903,validation_early_stop,60.0,100.0,False,17900.0,2.0953382079605944,0.5086174412541027
nonlinear_heteroskedastic,303,flow,2903,validation_early_stop,50.0,90.0,False,2659.0,0.8039232090231963,0.2866515310318725
linear_gaussian,202,gaussian_diag,2903,validation_early_stop,10.0,50.0,False,2566.0,0.17971170897362754,0.3122110698437714
bimodal,303,flow,2903,validation_early_stop,80.0,120.0,False,2659.0,1.0665740419644862,0.5354469859837305
nonlinear_heteroskedastic,303,student_rank2,2903,validation_early_stop,90.0,130.0,False,2765.0,0.6926698330207728,0.284124967664785
linear_gaussian,202,edm,1701,validation_early_stop,40.0,80.0,False,2723.0,0.7828129169647582,0.3191692946903911
bimodal,101,gaussian_diag,2903,validation_early_stop,20.0,60.0,False,2566.0,0.2054770840331912,0.5403199761625694
bimodal,303,gp_rbf,0,finite_grid_complete,,,,,0.19375520799076185,0.5709343488416987
bimodal,303,mdn4,1701,validation_early_stop,50.0,90.0,False,8388.0,0.8546477500349283,0.5125267666079827
nonlinear_heteroskedastic,101,edm,2903,validation_early_stop,40.0,80.0,False,2723.0,0.7671522499877028,0.32223294322709023
nonlinear_heteroskedastic,303,mdn4,1701,validation_early_stop,70.0,110.0,False,8388.0,1.0304319999995641,0.28116721029154446
heavy_tailed,202,ridge,0,finite_grid_complete,,,,,0.00540741701843217,0.32469643412746085
heavy_tailed,202,student_rank2,2903,validation_early_stop,30.0,70.0,False,2765.0,0.37461937504122034,0.3133967886815543
linear_gaussian,303,gaussian_rank2,2903,validation_early_stop,100.0,140.0,False,2764.0,0.6777585829840973,0.2811066754550224
bimodal,202,edm,2903,validation_early_stop,100.0,140.0,False,2723.0,1.3272252079914324,0.549814131129548
nonlinear_heteroskedastic,202,gaussian_rank2,1701,validation_early_stop,40.0,80.0,False,2764.0,0.38083599996753037,0.30638101742175605
bimodal,202,transformer_mdn4,1701,validation_early_stop,40.0,80.0,False,17900.0,1.6731431660009548,0.530095145101266
nonlinear_heteroskedastic,101,student_rank2,1701,validation_early_stop,60.0,100.0,False,2765.0,0.5389105000067502,0.31069044539255264
bimodal,303,gaussian_diag,1701,validation_early_stop,50.0,90.0,False,2566.0,0.3055415409617126,0.5698515642759008
bimodal,101,gaussian_rank2,1701,validation_early_stop,160.0,200.0,True,2764.0,0.9489591249730438,0.5164767737025368
heavy_tailed,202,gaussian_diag,2903,validation_early_stop,40.0,80.0,False,2566.0,0.2709096249891445,0.31727871481140385
nonlinear_heteroskedastic,101,mdn4,2903,validation_early_stop,60.0,100.0,False,8388.0,0.9442445419845171,0.31059527680361765
bimodal,101,mdn4,2903,validation_early_stop,120.0,160.0,False,8388.0,1.4908694160403684,0.5030011687180905
bimodal,303,gaussian_rank2,1701,validation_early_stop,60.0,100.0,False,2764.0,0.4734816250274889,0.5369028370980813
heavy_tailed,101,transformer_mdn4,2903,validation_early_stop,40.0,80.0,False,17900.0,1.6676967919920571,0.2991120658147183
bimodal,303,ridge,0,finite_grid_complete,,,,,0.005546583968680352,0.5550239724939257
linear_gaussian,101,transformer_mdn4,1701,validation_early_stop,50.0,90.0,False,17900.0,2.114271208003629,0.30295926805814555
linear_gaussian,202,mdn4,2903,validation_early_stop,20.0,60.0,False,8388.0,0.58027937496081,0.3101357157727851
nonlinear_heteroskedastic,303,ridge,0,finite_grid_complete,,,,,0.005469124997034669,0.3019791627854823
bimodal,101,student_rank2,2903,validation_early_stop,90.0,130.0,False,2765.0,0.6898861670051701,0.5150148832965945
nonlinear_heteroskedastic,303,gaussian_diag,2903,validation_early_stop,90.0,130.0,False,2566.0,0.4417717079631984,0.2859284783164312
heavy_tailed,202,gaussian_rank2,2903,validation_early_stop,80.0,120.0,False,2764.0,0.5624979590065777,0.31397089674948586
linear_gaussian,202,ridge,0,finite_grid_complete,,,,,0.006444833008572459,0.3111215561366519
bimodal,101,flow,1701,validation_early_stop,60.0,100.0,False,2659.0,0.8968957909964956,0.5150854091733357
nonlinear_heteroskedastic,101,flow,1701,validation_early_stop,110.0,150.0,False,2659.0,1.341773791005835,0.3075435412457295
linear_gaussian,101,gaussian_rank2,2903,validation_early_stop,50.0,90.0,False,2764.0,0.4734667500015348,0.30265964515689436
bimodal,101,edm,1701,validation_early_stop,80.0,120.0,False,2723.0,1.1369420000119135,0.5422448801367472
linear_gaussian,202,student_rank2,2903,validation_early_stop,40.0,80.0,False,2765.0,0.44819466600893065,0.3093237232406997
heavy_tailed,202,gp_rbf,0,finite_grid_complete,,,,,0.19160016695968807,0.326612320819635
linear_gaussian,202,flow,1701,validation_early_stop,100.0,140.0,False,2659.0,1.302125167043414,0.30761457160259553
bimodal,303,student_rank2,1701,validation_early_stop,20.0,60.0,False,2765.0,0.3225623339531012,0.5347440252566886
nonlinear_heteroskedastic,101,gaussian_diag,1701,validation_early_stop,90.0,130.0,False,2566.0,0.4442420839914121,0.3120206074446209
bimodal,303,transformer_mdn4,1701,validation_early_stop,30.0,70.0,False,17900.0,1.4842143339919858,0.5228167659007785
nonlinear_heteroskedastic,202,edm,1701,validation_early_stop,60.0,100.0,False,2723.0,0.948385292023886,0.31884489718463244
heavy_tailed,202,flow,2903,validation_early_stop,70.0,110.0,False,2659.0,0.9786803330061957,0.3101832940629864
nonlinear_heteroskedastic,101,transformer_mdn4,1701,validation_early_stop,30.0,70.0,False,17900.0,1.4750742500182241,0.31014973348089686
heavy_tailed,303,edm,2903,validation_early_stop,30.0,70.0,False,2723.0,0.660237165982835,0.2587165553664285
linear_gaussian,101,edm,2903,validation_early_stop,40.0,80.0,False,2723.0,0.8617485419963486,0.31428476896153595
heavy_tailed,202,mdn4,1701,validation_early_stop,10.0,50.0,False,8388.0,0.47139820898883045,0.31488464247247533
