law,data_seed,init,family,region,mean_change_rmse,quantile_change_rmse,seconds24,seconds48
heavy_tailed,202,1701,edm,extrapolated,0.0001652254339075,0.0011897687458495,0.0176127910381183,0.0352257500053383
nonlinear_heteroskedastic,202,2903,flow,central,5.4850962939218216e-05,0.0001614367671345,0.0168067090562544,0.0324537919950671
nonlinear_heteroskedastic,202,2903,flow,boundary,6.674464876828733e-05,9.279796175857312e-05,0.0163640829850919,0.0325683749979361
nonlinear_heteroskedastic,202,2903,flow,extrapolated,2.095504173507096e-05,4.3266267222709206e-05,0.0162361660040915,0.0324834579951129
heavy_tailed,101,2903,flow,central,6.523661669868935e-05,0.0001526742778303,0.0162370409816503,0.0322017500293441
heavy_tailed,101,2903,flow,boundary,4.70625059110031e-05,0.0001777269027416,0.0160928330151364,0.0325882919714786
heavy_tailed,101,2903,flow,extrapolated,5.4699935120630655e-05,8.712217260175443e-05,0.0162045420147478,0.0323076660279184
nonlinear_heteroskedastic,303,1701,edm,central,0.0001960446780469,0.001374146442925,0.0176848749979399,0.0354947499581612
nonlinear_heteroskedastic,303,1701,edm,boundary,0.0003433355850776,0.0015716563202603,0.0182692499947734,0.0360576669918373
nonlinear_heteroskedastic,303,1701,edm,extrapolated,0.0004282655206611,0.0018465704076721,0.0176519170054234,0.0359262500423938
heavy_tailed,202,2903,edm,central,0.0001091625247989,0.0012066510862641,0.0175670830067247,0.0354494579951278
heavy_tailed,202,2903,edm,boundary,0.0003208320149772,0.0012118591045889,0.0175106250098906,0.0352635839954018
heavy_tailed,202,2903,edm,extrapolated,0.0005499781355821,0.0014924089136257,0.017763375013601,0.0353082090150564
bimodal,202,1701,flow,central,3.395330229583142e-05,0.0002693057311159,0.0164622499723918,0.0326382920029573
bimodal,202,1701,flow,boundary,9.015220250956222e-05,0.0002201498237623,0.016168333007954,0.0329330419772304
bimodal,202,1701,flow,extrapolated,9.761810524197484e-05,0.0001411930658503,0.0163242910057306,0.0323933749459683
nonlinear_heteroskedastic,202,1701,flow,central,1.4614966616317204e-05,0.0001693150379008,0.0162947499775327,0.0323443340021185
nonlinear_heteroskedastic,202,1701,flow,boundary,5.316834976978724e-05,0.0001061893848074,0.0161887920112349,0.0320551670156419
nonlinear_heteroskedastic,202,1701,flow,extrapolated,4.9194084593022105e-05,6.623328560676934e-05,0.0163816660060547,0.0324058749829418
linear_gaussian,101,1701,flow,central,3.5195875299146956e-05,8.862344913788224e-05,0.0183287080144509,0.0353780830046162
linear_gaussian,101,1701,flow,boundary,7.360557797241274e-05,0.0001121593667792,0.019720165990293,0.036175916029606
linear_gaussian,101,1701,flow,extrapolated,7.742645920396693e-05,9.417356527733066e-05,0.0185354580171406,0.0370088330237194
heavy_tailed,101,1701,edm,central,0.0002514095056163,0.0011720616549867,0.0177827910520136,0.035721916006878
heavy_tailed,101,1701,edm,boundary,0.0003029491030516,0.001368997776054,0.0178435000125318,0.0355503750033676
heavy_tailed,101,1701,edm,extrapolated,0.0006427722349241,0.0017015494389039,0.0178304159780964,0.035674916987773
linear_gaussian,303,1701,edm,central,0.00010992355642,0.0011282187031113,0.0180823330301791,0.0358940410078503
linear_gaussian,303,1701,edm,boundary,0.0004286757872902,0.0013228549724693,0.0179482079693116,0.0355859589762985
linear_gaussian,303,1701,edm,extrapolated,0.0002135546239305,0.001409477631469,0.018350584025029,0.0368943749926984
heavy_tailed,303,1701,flow,central,5.8505361329417155e-05,0.0002119036709897,0.0163725420134142,0.0322108749533072
heavy_tailed,303,1701,flow,boundary,9.696653572870722e-05,0.0001521925486501,0.0163959590136073,0.0326663329615257
heavy_tailed,303,1701,flow,extrapolated,7.873895500868421e-05,0.000108068779593,0.0162326249992474,0.0322686670115217
bimodal,303,2903,edm,central,6.789877413483774e-05,0.0024401993780351,0.0174978330032899,0.0354454159969463
bimodal,303,2903,edm,boundary,0.0009899073228296,0.0025073005233848,0.0176167089957743,0.0353837080183438
bimodal,303,2903,edm,extrapolated,0.0010114860465042,0.002103861533114,0.0177485410240478,0.0354252079850994
linear_gaussian,303,2903,flow,central,4.600056836252329e-05,9.588175411776476e-05,0.0164232499664649,0.0327866669977083
linear_gaussian,303,2903,flow,boundary,4.047713795805398e-05,7.588045892041672e-05,0.0168142089969478,0.0334002500167116
linear_gaussian,303,2903,flow,extrapolated,3.5999082262990845e-05,4.202930974897303e-05,0.0170849169953726,0.0331875419942662
linear_gaussian,202,2903,flow,central,2.2205697186623725e-05,9.570759296260812e-05,0.0169199999654665,0.0334740839898586
linear_gaussian,202,2903,flow,boundary,4.890883111693765e-05,7.246228598758184e-05,0.0169732089852914,0.0333815420162864
linear_gaussian,202,2903,flow,extrapolated,2.3787828373498923e-05,4.435272463404448e-05,0.0165425419691018,0.0328955840086564
bimodal,101,2903,edm,central,0.000151607656405,0.0020187529644357,0.0176855829777196,0.0361075829714536
bimodal,101,2903,edm,boundary,0.0005217775115607,0.0020482164465853,0.0177544580074027,0.0355844169971533
bimodal,101,2903,edm,extrapolated,0.0005018845279496,0.0016485599181278,0.0175659580272622,0.0355351250036619
bimodal,101,2903,flow,central,9.498075135168463e-05,0.0001830537324683,0.016271875007078,0.032356834039092
bimodal,101,2903,flow,boundary,6.881398738240653e-05,0.0001998123048147,0.0164393340237438,0.0324209579848684
bimodal,101,2903,flow,extrapolated,7.870471536399653e-05,7.034625048121355e-05,0.0163235830259509,0.0324883750290609
nonlinear_heteroskedastic,101,2903,flow,central,6.571498835543549e-05,0.0001609235134084,0.0163917500176467,0.0325569160049781
nonlinear_heteroskedastic,101,2903,flow,boundary,5.079785336371329e-05,0.000114555940225,0.0163835829589515,0.0324520000140182
nonlinear_heteroskedastic,101,2903,flow,extrapolated,3.131687992819711e-05,7.75391428853956e-05,0.0167398750199936,0.0337208329583518
heavy_tailed,202,1701,flow,central,1.206780489622227e-05,0.0001236618503583,0.016327875026036,0.03228137496626
heavy_tailed,202,1701,flow,boundary,8.15344795347495e-05,0.0001701877468776,0.0163011249969713,0.0323557499796152
heavy_tailed,202,1701,flow,extrapolated,0.000123283954288,0.0001202068172468,0.0162812499911524,0.0325203340034931
nonlinear_heteroskedastic,202,2903,edm,central,0.0001344903494651,0.0012636410547391,0.0179484169930219,0.0355212499853223
nonlinear_heteroskedastic,202,2903,edm,boundary,0.0002740329382434,0.001376119378659,0.0175508329994045,0.0357685000053606
nonlinear_heteroskedastic,202,2903,edm,extrapolated,0.0005646863235631,0.0016548802657063,0.0176832500146701,0.0355429159826599
linear_gaussian,101,1701,edm,central,4.57924377337532e-05,0.00118526849694,0.0187282499973662,0.0385967079782858
linear_gaussian,101,1701,edm,boundary,0.0001953456450704,0.0012746912599171,0.019425583013799,0.040347833011765
linear_gaussian,101,1701,edm,extrapolated,0.000553326206014,0.0015548491213228,0.019118416996207,0.0381942499661818
heavy_tailed,303,1701,edm,central,9.7893720347326e-05,0.0011624919467041,0.0175940839690156,0.0355517499847337
heavy_tailed,303,1701,edm,boundary,0.00033473515128,0.0014674624139741,0.0175984170055016,0.0355150410323403
heavy_tailed,303,1701,edm,extrapolated,0.0001293856106239,0.0016337383909513,0.0177753340103663,0.0354452499886974
linear_gaussian,202,2903,edm,central,0.0001885258817551,0.0011756933307574,0.0178700000396929,0.0358923749881796
linear_gaussian,202,2903,edm,boundary,0.0002853023105909,0.0011963286908517,0.0178537499741651,0.0356705000158399
linear_gaussian,202,2903,edm,extrapolated,0.0002641228184302,0.0013125625650735,0.0179384170332923,0.0359927919926121
nonlinear_heteroskedastic,303,1701,flow,central,8.473064793854231e-05,0.0001177825147715,0.0163386249914765,0.032496333005838
nonlinear_heteroskedastic,303,1701,flow,boundary,9.386629868735144e-05,0.0001503867284856,0.0163537500193342,0.0325841669691726
nonlinear_heteroskedastic,303,1701,flow,extrapolated,6.286172636727604e-05,8.539085023915128e-05,0.016250165994279,0.0323722910252399
bimodal,303,1701,flow,central,0.0001951699575647,0.0003098746559573,0.0162983749760314,0.032314041047357
bimodal,303,1701,flow,boundary,0.0001458798808326,0.0002070013501975,0.0160907079698517,0.0322973749716766
bimodal,303,1701,flow,extrapolated,0.0001421244522847,0.0002117317398047,0.0162958329892717,0.0321898750262334
nonlinear_heteroskedastic,101,1701,edm,central,0.000275327160632,0.0013661619402562,0.0177030000486411,0.0355868749902583
nonlinear_heteroskedastic,101,1701,edm,boundary,0.0002596386723382,0.001463837809762,0.0176972079789266,0.0357202079612761
nonlinear_heteroskedastic,101,1701,edm,extrapolated,0.0006582843866719,0.0017254350714131,0.0175364160095341,0.0352945839986205
bimodal,202,1701,edm,central,0.000232601758744,0.0019930177596944,0.0177559580188244,0.0354286669753491
bimodal,202,1701,edm,boundary,0.0008300409923589,0.001824737698457,0.0176541669643484,0.0356291250209324
bimodal,202,1701,edm,extrapolated,0.0004826854158227,0.0015300600422436,0.0177177090081386,0.0355864170123823
nonlinear_heteroskedastic,303,2903,flow,central,3.533890511380938e-05,0.0001189453502462,0.0164500000537373,0.0323360830079764
nonlinear_heteroskedastic,303,2903,flow,boundary,2.504976305533536e-05,7.872922311496463e-05,0.0163043750217184,0.0325013340334408
nonlinear_heteroskedastic,303,2903,flow,extrapolated,4.024066068766225e-05,5.482347918881383e-05,0.016219999990426,0.0322393329697661
bimodal,303,2903,flow,central,7.63123634622938e-05,0.0003699802937485,0.0161180419963784,0.0324737079790793
bimodal,303,2903,flow,boundary,7.45379425536689e-05,0.0001341472135902,0.0164255420095287,0.032353124988731
bimodal,303,2903,flow,extrapolated,4.334756106240397e-05,0.0001184432720585,0.0164962080307304,0.0322220000089146
linear_gaussian,202,1701,edm,central,2.137417212475036e-05,0.0012209098516653,0.0184429580112919,0.0372213749797083
linear_gaussian,202,1701,edm,boundary,0.0003266561684356,0.0012349396653104,0.0176988749881275,0.0360375000163912
linear_gaussian,202,1701,edm,extrapolated,4.228731137792891e-05,0.0011940095295372,0.01792045799084,0.0359834590344689
nonlinear_heteroskedastic,101,2903,edm,central,6.423592502918218e-05,0.0012302833808804,0.0177772499737329,0.0361151249962858
nonlinear_heteroskedastic,101,2903,edm,boundary,0.0001360110769066,0.0013756997409759,0.0177242499776184,0.035758749989327
nonlinear_heteroskedastic,101,2903,edm,extrapolated,0.0005966314369996,0.0017604244136371,0.0178680000244639,0.0358842079876922
bimodal,202,2903,edm,central,0.0001818627753317,0.0017902559120583,0.0178047089721076,0.0356200420064851
bimodal,202,2903,edm,boundary,0.0008449932316055,0.0021061829089754,0.0175958750187419,0.0355108750518411
bimodal,202,2903,edm,extrapolated,0.0003499833089547,0.002106144664394,0.017529500008095,0.0355375420185737
bimodal,101,1701,flow,central,9.593301876248242e-05,0.0001628787130833,0.0163745830068364,0.0326358340098522
bimodal,101,1701,flow,boundary,0.000146862224276,0.0002684945614712,0.0162584159988909,0.032436833018437
bimodal,101,1701,flow,extrapolated,5.486649812461725e-05,9.743421666954249e-05,0.016249542008154,0.0329805419896729
nonlinear_heteroskedastic,101,1701,flow,central,4.4502109550932726e-05,0.0001593608862543,0.0163173750042915,0.0322554159793071
nonlinear_heteroskedastic,101,1701,flow,boundary,4.375205110728673e-05,0.000143939472005,0.0164455840131267,0.0329220829880796
nonlinear_heteroskedastic,101,1701,flow,extrapolated,1.2397667216810332e-05,6.98367407026998e-05,0.0162533749826252,0.0326586250448599
bimodal,101,1701,edm,central,0.0001139648438119,0.0019277455432347,0.0176794580183923,0.0352787919691763
bimodal,101,1701,edm,boundary,0.0002435867449022,0.0017370074604411,0.0178470420069061,0.0355391670018434
bimodal,101,1701,edm,extrapolated,0.0002803429171345,0.0020023422767873,0.0181013750261627,0.0359989170101471
linear_gaussian,202,1701,flow,central,1.961013539956854e-05,7.571663637471709e-05,0.0164874159963801,0.0329461250221356
linear_gaussian,202,1701,flow,boundary,5.972829575191959e-05,8.44582561776443e-05,0.0174573340336792,0.0328061250038445
linear_gaussian,202,1701,flow,extrapolated,6.297609064118969e-05,6.663260266021245e-05,0.0163443749770522,0.032630292000249
nonlinear_heteroskedastic,202,1701,edm,central,0.0001139524201428,0.0013035323929424,0.0177269580308347,0.0356762920273467
nonlinear_heteroskedastic,202,1701,edm,boundary,0.0004104514352422,0.0013600823392148,0.0177352920291014,0.0355435839737765
nonlinear_heteroskedastic,202,1701,edm,extrapolated,0.0002068147614309,0.0013597549746844,0.0176003330270759,0.0354775419691577
heavy_tailed,202,2903,flow,central,7.316037252125231e-05,0.0002186784313982,0.0165217079920694,0.032498457992915
heavy_tailed,202,2903,flow,boundary,5.0702851224282064e-05,0.0001406502894946,0.0163354170508682,0.0323468329734168
heavy_tailed,202,2903,flow,extrapolated,2.429973047292928e-05,6.453411030315492e-05,0.0161407080013304,0.0325927079538814
heavy_tailed,303,2903,edm,central,0.0001124529408157,0.0011848717390362,0.0176138749811798,0.0355775419739075
heavy_tailed,303,2903,edm,boundary,0.000234799332911,0.0012340041472257,0.0174630419933237,0.0354042500257492
heavy_tailed,303,2903,edm,extrapolated,0.0012675962172705,0.0018756516914748,0.0176657919655554,0.0355118750012479
linear_gaussian,101,2903,edm,central,7.188888981111788e-05,0.0011007683227685,0.0200337080168537,0.0398457089904695
linear_gaussian,101,2903,edm,boundary,0.0002983529958547,0.0012946200849635,0.0181733749923296,0.0372934580082073
linear_gaussian,101,2903,edm,extrapolated,0.0003795968643121,0.0014705870320604,0.0193892079987563,0.0378106659627519
