law,data_seed,family,region,event,n,particle_abs_error,total_abs_error,qualified_fraction,ess
bimodal,101,gaussian_diag,extrapolated,common,512,0.09812962348611798,0.7907149133770335,1.0,6.366002516977283
bimodal,101,gaussian_diag,extrapolated,rare,128,0.12468927155676773,0.24742677173526983,1.0,6.42164335557673
bimodal,101,gaussian_diag,extrapolated,rare,512,0.09030248530398594,0.20750543374043207,1.0,21.73878612703064
bimodal,101,gaussian_rank2,boundary,common,128,0.22436684240169727,0.26676412588281334,1.0,8.005527495167469
bimodal,101,gaussian_rank2,boundary,common,512,0.14266938781484065,0.10590867683627155,1.0,11.538657549773815
bimodal,101,gaussian_rank2,boundary,rare,128,0.2311585039675413,0.12578701444074344,1.0,4.336823863159379
bimodal,101,gaussian_rank2,boundary,rare,512,0.1288162834511123,0.2460673950794929,1.0,10.829525121122126
bimodal,101,gaussian_rank2,central,common,128,0.022018319140907777,0.272889156136237,1.0,71.69467614026173
bimodal,101,gaussian_rank2,central,common,512,0.02577556080533333,0.2712287524595447,1.0,286.58427311854626
bimodal,101,gaussian_rank2,central,rare,128,0.5976700136053722,0.10392375706098618,1.0,2.074838992784222
bimodal,101,gaussian_rank2,central,rare,512,0.4868713830091164,0.04340658283218276,1.0,1.4680979983996518
bimodal,101,gaussian_rank2,extrapolated,common,128,0.13695077633181127,0.6335160625934171,1.0,9.026441748531896
bimodal,101,gaussian_rank2,extrapolated,common,512,0.07127066635065897,0.5142211772279087,1.0,32.13519560429502
bimodal,101,gaussian_rank2,extrapolated,rare,128,0.13550543901462253,0.1413257270771949,1.0,13.509006311860036
bimodal,101,gaussian_rank2,extrapolated,rare,512,0.035169381244858335,0.2232473216793713,1.0,36.463493253331336
bimodal,101,gp_rbf,boundary,common,128,0.10108156473439335,0.6907684647762897,1.0,8.364622827431004
bimodal,101,gp_rbf,boundary,common,512,0.07467227588640289,0.6307889788728157,1.0,23.83239543202895
bimodal,101,gp_rbf,boundary,rare,128,0.06562964809893727,0.24569756846651916,1.0,2.661888455113418
bimodal,101,gp_rbf,boundary,rare,512,0.12076980657929552,0.2877838270888119,1.0,7.087513920146968
bimodal,101,gp_rbf,central,common,128,0.04200912397824996,0.982640877335574,1.0,79.90526707129955
bimodal,101,gp_rbf,central,common,512,0.0106994361214474,0.96839498834135,1.0,313.6064912431934
bimodal,101,gp_rbf,central,rare,128,0.048498149205002804,0.1646049269057267,1.0,3.0109121615177963
bimodal,101,gp_rbf,central,rare,512,0.1325002159740607,0.3125396310411846,1.0,1.4824906749656812
bimodal,101,gp_rbf,extrapolated,common,128,0.11655710488967892,0.9181002015164846,1.0,53.07960618347685
bimodal,101,gp_rbf,extrapolated,common,512,0.10576547578836758,0.8456175601421952,1.0,215.69935867201283
bimodal,101,gp_rbf,extrapolated,rare,128,0.29681902452500036,0.2618146402464446,1.0,1.7746812550155522
bimodal,101,gp_rbf,extrapolated,rare,512,0.4103790234831668,0.2303312274196659,1.0,4.93746493069706
bimodal,101,mdn4,boundary,common,128,0.07146055117632966,0.1134005830385969,1.0,8.78030745396188
bimodal,101,mdn4,boundary,common,512,0.03216270082897432,0.1582748545968822,1.0,32.80709252854029
bimodal,101,mdn4,boundary,rare,128,0.07172507417811647,0.042794350435457235,1.0,7.876681202140393
bimodal,101,mdn4,boundary,rare,512,0.04352401433797903,0.026393111794575565,1.0,25.441749893781402
bimodal,101,mdn4,central,common,128,0.04725924297680608,0.08637435224392231,1.0,56.80502867808759
bimodal,101,mdn4,central,common,512,0.02035588847260807,0.06810701549160643,1.0,248.20687312540394
bimodal,101,mdn4,central,rare,128,0.0216309569497006,0.1256522905717897,0.5,8.18122744523471
bimodal,101,mdn4,central,rare,512,0.029651768819171833,0.10318302499595318,0.5,10.648790893524204
bimodal,101,mdn4,extrapolated,common,128,0.09626108002608506,0.3671467544369573,1.0,10.207495287932314
bimodal,101,mdn4,extrapolated,common,512,0.06359755032818411,0.3092474265296197,1.0,33.89131393972911
bimodal,101,mdn4,extrapolated,rare,128,0.2306854366499936,0.21394279038081457,1.0,5.513850888883195
bimodal,101,mdn4,extrapolated,rare,512,0.13005895632861816,0.11918864955692833,1.0,8.435195369942088
bimodal,101,ridge,boundary,common,128,0.15862878786348453,0.15457669678817051,1.0,7.099309236617207
bimodal,101,ridge,boundary,common,512,0.03640690153472492,0.03235481045941091,1.0,19.56897183129315
bimodal,101,ridge,boundary,rare,128,0.22757024945795234,0.2065361847211531,1.0,2.9775581145310492
bimodal,101,ridge,boundary,rare,512,0.2540983436785377,0.18000809050056776,1.0,8.817673552008529
bimodal,101,ridge,central,common,128,0.04823882009252056,0.373875518187647,1.0,78.45506798948787
bimodal,101,ridge,central,common,512,0.008189804012622778,0.3598486312321248,1.0,315.7947393379295
bimodal,101,ridge,central,rare,128,0.5766566651479748,0.1425217256684111,1.0,2.9246853274522806
bimodal,101,ridge,central,rare,512,0.5797669372754901,0.14563199779592648,1.0,1.4399132425212329
bimodal,101,ridge,extrapolated,common,128,0.5688695601561151,0.7876522945925558,1.0,1.7094865080098611
bimodal,101,ridge,extrapolated,common,512,0.5879735184200272,0.8067562528564679,1.0,1.593802298488422
bimodal,101,ridge,extrapolated,rare,128,0.09952506200195972,0.4192286078784342,1.0,27.447175971586727
bimodal,101,ridge,extrapolated,rare,512,0.031008910522035915,0.4073558078148715,1.0,103.45527294420162
bimodal,101,student_rank2,boundary,common,128,0.2419798344393054,0.22677129791336073,1.0,5.243291150983374
bimodal,101,student_rank2,boundary,common,512,0.2302222726292229,0.2780205617624582,1.0,10.304552209977713
bimodal,101,student_rank2,boundary,rare,128,0.45842647809512,0.18863465509657204,1.0,3.748595857531118
bimodal,101,student_rank2,boundary,rare,512,0.28848469338498123,0.5054070435807058,1.0,7.114434138702429
bimodal,101,student_rank2,central,common,128,0.025715185374149185,0.2909411902085564,1.0,69.81320435362501
bimodal,101,student_rank2,central,common,512,0.02128120902409732,0.2881224001926905,1.0,279.71212463117735
bimodal,101,student_rank2,central,rare,128,0.933560543775456,0.1251096885914085,1.0,1.5719975306451512
bimodal,101,student_rank2,central,rare,512,0.567045310089357,0.30345255370913105,1.0,1.6049435859082528
bimodal,101,student_rank2,extrapolated,common,128,0.169308580374092,0.6341252031264784,1.0,8.193739720946114
bimodal,101,student_rank2,extrapolated,common,512,0.11535813245374314,0.5492106667853524,1.0,26.21206502823121
bimodal,101,student_rank2,extrapolated,rare,128,0.17793767213964984,0.2083185510399291,1.0,7.817845777744805
bimodal,101,student_rank2,extrapolated,rare,512,0.059715406222194324,0.1898731694363497,1.0,21.478951069390764
bimodal,101,transformer_mdn4,boundary,common,128,0.10336853819247666,0.09591558267364403,1.0,5.939453175058222
bimodal,101,transformer_mdn4,boundary,common,512,0.04969476696512731,0.17285865531061775,1.0,31.410777409696337
bimodal,101,transformer_mdn4,boundary,rare,128,0.056476486005066134,0.0773908137910555,1.0,7.072227853169996
bimodal,101,transformer_mdn4,boundary,rare,512,0.028306867286328554,0.06837384470119852,1.0,25.160871979909388
bimodal,101,transformer_mdn4,central,common,128,0.04549042523181546,0.28413745941421226,1.0,68.81256562219866
bimodal,101,transformer_mdn4,central,common,512,0.026618332718323773,0.2993435894815171,1.0,290.49395242951294
bimodal,101,transformer_mdn4,central,rare,128,,0.13974135934708085,0.0,5.671840810019888
bimodal,101,transformer_mdn4,central,rare,512,,0.1020336157065252,0.0,7.075762514763251
bimodal,101,transformer_mdn4,extrapolated,common,128,0.13467281529320904,0.18342376940300045,1.0,3.729865828704366
bimodal,101,transformer_mdn4,extrapolated,common,512,0.0443190880083457,0.12579679806934785,1.0,11.61403053517651
bimodal,101,transformer_mdn4,extrapolated,rare,128,0.0705136300594965,0.08512820278033045,1.0,12.112620471447999
bimodal,101,transformer_mdn4,extrapolated,rare,512,0.02841660012045727,0.033243936010985485,1.0,24.339835186962592
bimodal,202,edm,boundary,common,128,0.06743133713919756,0.13986102103813372,1.0,15.09242955600841
bimodal,202,edm,boundary,common,512,0.045678831517779434,0.14853140737691203,1.0,61.856370473365104
bimodal,202,edm,boundary,rare,128,0.05072148768343703,0.13556500222497794,0.5,8.935599815320272
bimodal,202,edm,boundary,rare,512,0.017993843094891635,0.07441862271122372,0.5,16.071328873227543
bimodal,202,edm,central,common,128,0.05432012969247004,0.10230674588343658,1.0,66.35249429221105
bimodal,202,edm,central,common,512,0.019523203219273828,0.06742496533091764,1.0,270.84640094828006
bimodal,202,edm,central,rare,128,,0.11854020821356341,0.0,2.0255369075896135
bimodal,202,edm,central,rare,512,,0.1280294486450214,0.0,4.170612295784571
bimodal,202,edm,extrapolated,common,128,0.18863090346898184,0.6295052913731926,0.5,4.050369969887713
bimodal,202,edm,extrapolated,common,512,0.13609553472106026,0.6126237652836876,0.5,9.133425562493121
bimodal,202,edm,extrapolated,rare,128,0.04645113120175722,0.02667439295028679,1.0,16.077182122668443
bimodal,202,edm,extrapolated,rare,512,0.01896451182120513,0.03969000770869898,1.0,54.548102860027605
bimodal,202,flow,boundary,common,128,0.0996251302266085,0.12841974288873348,1.0,6.278569758675555
bimodal,202,flow,boundary,common,512,0.0671800372801786,0.061809664667176016,1.0,27.28404466190237
bimodal,202,flow,boundary,rare,128,0.1491172750473273,0.11421239099077145,0.5,9.123466408494599
bimodal,202,flow,boundary,rare,512,0.04091891296031496,0.09924902786597971,0.5,14.161891067907069
bimodal,202,flow,central,common,128,0.06062446108831726,0.0831067102337356,1.0,66.03956305246977
bimodal,202,flow,central,common,512,0.015602889884145321,0.05163144776096734,1.0,265.7998879316778
bimodal,202,flow,central,rare,128,,0.17810089874780802,0.0,2.5327595028707606
bimodal,202,flow,central,rare,512,,0.15480856954025513,0.0,3.097743894847028
bimodal,202,flow,extrapolated,common,128,,0.6190180368395145,0.0,3.4922022866628475
bimodal,202,flow,extrapolated,common,512,,0.5286778710865746,0.0,2.271464274669684
bimodal,202,flow,extrapolated,rare,128,0.06233389140776474,0.10622463905288133,1.0,21.358310356294812
bimodal,202,flow,extrapolated,rare,512,0.028249853348244192,0.14182894676472,1.0,80.05631658286539
bimodal,202,gaussian_diag,boundary,common,128,0.08065063814801038,0.6100686716674258,1.0,7.619541258805614
bimodal,202,gaussian_diag,boundary,common,512,0.0692402296267726,0.5778354152837434,1.0,24.390119401182243
bimodal,202,gaussian_diag,boundary,rare,128,0.1772869856506395,0.2379129951320642,1.0,4.796553202708802
bimodal,202,gaussian_diag,boundary,rare,512,0.09944114205523898,0.11052240788818028,1.0,8.393129820190154
bimodal,202,gaussian_diag,central,common,128,0.06632741669989138,0.9848227235295198,1.0,71.41617835351363
bimodal,202,gaussian_diag,central,common,512,0.023631273903469047,0.9587456664902989,1.0,268.60354864226036
bimodal,202,gaussian_diag,central,rare,128,0.1751042181678848,0.1872362998468322,1.0,1.1578012490443708
bimodal,202,gaussian_diag,central,rare,512,0.15466122694017734,0.24937402342909565,1.0,2.504113623583602
bimodal,202,gaussian_diag,extrapolated,common,128,0.1298035427002192,0.8929791486416331,1.0,6.264023037420277
bimodal,202,gaussian_diag,extrapolated,common,512,0.10404705043835343,0.8935094943272287,1.0,7.689574313711867
bimodal,202,gaussian_diag,extrapolated,rare,128,0.04062291467971637,0.19839834552204927,1.0,12.041420846408657
bimodal,202,gaussian_diag,extrapolated,rare,512,0.01947733301419755,0.19361055373045213,1.0,36.57850765015562
bimodal,202,gaussian_rank2,boundary,common,128,0.10695134892100529,0.15540724397972472,1.0,8.494135102044977
bimodal,202,gaussian_rank2,boundary,common,512,0.04695353583261183,0.09912335588393324,1.0,24.69915197282651
bimodal,202,gaussian_rank2,boundary,rare,128,0.2543711748583642,0.18438202291316408,1.0,4.802222357619068
bimodal,202,gaussian_rank2,boundary,rare,512,0.2289107519149294,0.15951463051202078,1.0,11.845117870081724
bimodal,202,gaussian_rank2,central,common,128,0.05289177797286702,0.27048397087758397,1.0,70.29930814205697
bimodal,202,gaussian_rank2,central,common,512,0.03969770567974745,0.28585309410302495,1.0,285.74450899618756
bimodal,202,gaussian_rank2,central,rare,128,0.6403037595534998,0.11453734599516723,1.0,1.6970955228807847
bimodal,202,gaussian_rank2,central,rare,512,0.5836832038890161,0.09327243606487916,1.0,2.2542280768219536
bimodal,202,gaussian_rank2,extrapolated,common,128,0.07999284250984336,0.7866696354716257,1.0,6.467953637984912
bimodal,202,gaussian_rank2,extrapolated,common,512,0.03256067709341843,0.7271762343205973,1.0,13.647696009764035
bimodal,202,gaussian_rank2,extrapolated,rare,128,0.04739555493247283,0.1713025796540324,1.0,20.019311941674022
bimodal,202,gaussian_rank2,extrapolated,rare,512,0.02710413955118113,0.17866118772430004,1.0,70.12721564889314
bimodal,202,gp_rbf,boundary,common,128,0.2536560265311006,0.6813669394304438,1.0,5.704833949173637
bimodal,202,gp_rbf,boundary,common,512,0.0448584329054457,0.6161461904325783,1.0,29.727095491306454
bimodal,202,gp_rbf,boundary,rare,128,0.11264125582335698,0.2945192842676312,1.0,5.658003153649155
bimodal,202,gp_rbf,boundary,rare,512,0.10899862859809097,0.29087665704236515,1.0,6.9330192331871325
bimodal,202,gp_rbf,central,common,128,0.06672996614526264,1.0048853773073023,1.0,67.43144590283958
bimodal,202,gp_rbf,central,common,512,0.0217949847964066,0.9715471893470476,1.0,272.66694763531035
bimodal,202,gp_rbf,central,rare,128,0.034578062752713835,0.1971699284831776,1.0,3.0276805645514266
bimodal,202,gp_rbf,central,rare,512,0.024332424829503166,0.18279187541499894,1.0,1.9456072787786816
bimodal,202,gp_rbf,extrapolated,common,128,0.19490874301346406,0.753210043321944,1.0,49.873682498586014
bimodal,202,gp_rbf,extrapolated,common,512,0.04049070571386787,0.8036018471310203,1.0,222.27406044911172
bimodal,202,gp_rbf,extrapolated,rare,128,0.5139912479304144,0.5746121568293915,1.0,2.6603989780739483
bimodal,202,gp_rbf,extrapolated,rare,512,0.11531901051823938,0.2084946334576526,1.0,4.590785540071036
bimodal,202,mdn4,boundary,common,128,0.06567491885434062,0.06088726950002399,1.0,11.783514555291381
bimodal,202,mdn4,boundary,common,512,0.030952734530935444,0.056038618081117854,1.0,44.91951445254273
bimodal,202,mdn4,boundary,rare,128,0.06322390791391592,0.10578658201198478,1.0,14.621616752704485
bimodal,202,mdn4,boundary,rare,512,0.037802051325813935,0.06383088128303695,1.0,25.08672664295102
bimodal,202,mdn4,central,common,128,0.03441714074546822,0.07667988859757123,1.0,65.38622735916321
bimodal,202,mdn4,central,common,512,0.014455407361429659,0.060319088508996255,1.0,265.127532339697
bimodal,202,mdn4,central,rare,128,,0.0895505467768795,0.0,4.199533348553775
bimodal,202,mdn4,central,rare,512,,0.11647752300243203,0.0,8.04170353366884
bimodal,202,mdn4,extrapolated,common,128,0.22991257060071546,0.29736642243860406,1.0,4.920622034054611
bimodal,202,mdn4,extrapolated,common,512,0.20489424308856777,0.260767097254653,1.0,11.090230408006752
bimodal,202,mdn4,extrapolated,rare,128,0.0733668819452486,0.11550490295962318,1.0,7.496731996880212
bimodal,202,mdn4,extrapolated,rare,512,0.10072081121605138,0.10887623214204926,1.0,19.67612494239335
bimodal,202,ridge,boundary,common,128,0.11031869661785498,0.11083386079742623,1.0,5.582186458525604
bimodal,202,ridge,boundary,common,512,0.08557453685257,0.08402904431385627,1.0,27.466399043725954
bimodal,202,ridge,boundary,rare,128,0.3897537133330828,0.06926802301777743,1.0,5.769635668980364
bimodal,202,ridge,boundary,rare,512,0.1845837235986215,0.34527735264926257,1.0,8.585655704793806
bimodal,202,ridge,central,common,128,0.058265798308186935,0.37814215180110883,1.0,76.65071291356922
bimodal,202,ridge,central,common,512,0.01586726539427889,0.33295681139186334,1.0,310.00828521385847
bimodal,202,ridge,central,rare,128,0.6185586813664291,0.15951443177925573,1.0,2.9524652785067507
bimodal,202,ridge,central,rare,512,0.5218950325504118,0.07624921534982586,1.0,1.9548968220210412
bimodal,202,ridge,extrapolated,common,128,0.6170365104134993,0.8202292984632534,1.0,1.528999571374209
bimodal,202,ridge,extrapolated,common,512,0.6154210150807007,0.818613803130455,1.0,1.7686072199900018
bimodal,202,ridge,extrapolated,rare,128,0.0735894757702132,0.5326265138684162,1.0,28.1215782913247
bimodal,202,ridge,extrapolated,rare,512,0.025273961134051188,0.4490365407443378,1.0,116.57820553607951
bimodal,202,student_rank2,boundary,common,128,0.2170207293160483,0.12618597375910237,1.0,7.765353101456836
bimodal,202,student_rank2,boundary,common,512,0.1638725759101325,0.17968184514904548,1.0,13.822395661447063
bimodal,202,student_rank2,boundary,rare,128,0.47296406106551014,0.24855425966481626,1.0,4.2178991756813895
bimodal,202,student_rank2,boundary,rare,512,0.2720173936721051,0.4405966782231448,1.0,5.504536245243156
bimodal,202,student_rank2,central,common,128,0.07028504096939536,0.2841960964657617,1.0,69.47290400852889
bimodal,202,student_rank2,central,common,512,0.027667786519527043,0.2718765127897352,1.0,281.9557107210842
bimodal,202,student_rank2,central,rare,128,0.9743517713439434,0.1317053458080417,1.0,1.2400253297462538
bimodal,202,student_rank2,central,rare,512,0.683453409135816,0.40379417800123774,1.0,2.2445124890282746
bimodal,202,student_rank2,extrapolated,common,128,0.14308875809302032,0.8024135001229814,1.0,3.6397267522500023
bimodal,202,student_rank2,extrapolated,common,512,0.10933319932851966,0.7661267073401352,1.0,3.421171737600595
bimodal,202,student_rank2,extrapolated,rare,128,0.06606245836637707,0.09867151786726112,1.0,11.032941174502712
bimodal,202,student_rank2,extrapolated,rare,512,0.06335457953930107,0.20146872001347946,1.0,23.139972665082624
bimodal,202,transformer_mdn4,boundary,common,128,0.08383225116681736,0.08202125658604985,1.0,14.258553824244247
bimodal,202,transformer_mdn4,boundary,common,512,0.046466003145955705,0.09902865224333741,1.0,52.124926914062094
bimodal,202,transformer_mdn4,boundary,rare,128,0.06919054528849233,0.10141836883402104,0.5,14.074956609427375
bimodal,202,transformer_mdn4,boundary,rare,512,0.029078322309350393,0.06296933581816641,0.5,22.53521907565648
bimodal,202,transformer_mdn4,central,common,128,0.03622953371209305,0.09353084987313622,1.0,56.864761763606815
bimodal,202,transformer_mdn4,central,common,512,0.015208099884478429,0.08245521159593076,1.0,217.42512727673432
bimodal,202,transformer_mdn4,central,rare,128,,0.12245278395077046,0.0,4.977594739045305
bimodal,202,transformer_mdn4,central,rare,512,,0.08768612517237774,0.0,6.442651094835253
bimodal,202,transformer_mdn4,extrapolated,common,128,0.173213311964024,0.3358594435307409,1.0,4.109426655040878
bimodal,202,transformer_mdn4,extrapolated,common,512,0.13089224448251988,0.317854882941411,1.0,11.126449637076101
bimodal,202,transformer_mdn4,extrapolated,rare,128,0.07587922104706768,0.07736473123750977,1.0,7.1286069429044865
bimodal,202,transformer_mdn4,extrapolated,rare,512,0.08353346260252692,0.09370320217732385,1.0,20.981056808243583
bimodal,303,edm,boundary,common,128,0.09556082471746664,0.14716497073929272,1.0,14.691804655075936
bimodal,303,edm,boundary,common,512,0.024501447478607347,0.07368665794438267,1.0,45.71627855731223
bimodal,303,edm,boundary,rare,128,0.09953226015523198,0.06630169719778901,0.5,7.399066848363028
bimodal,303,edm,boundary,rare,512,0.10007050784258613,0.10588301880548279,0.5,12.41172054995878
bimodal,303,edm,central,common,128,0.04400969064266367,0.0892012538908132,1.0,70.42924381139113
bimodal,303,edm,central,common,512,0.006303123319834107,0.10708062072034595,1.0,292.3074402311402
bimodal,303,edm,central,rare,128,,0.12985620827790176,0.0,2.4182275576526084
bimodal,303,edm,central,rare,512,,0.07160120019838008,0.0,2.565560563068391
bimodal,303,edm,extrapolated,common,128,0.10483077228442682,0.4419259837624097,0.5,3.2742744565951916
bimodal,303,edm,extrapolated,common,512,0.16491362876258656,0.5683273554705307,0.5,10.019228641997076
bimodal,303,edm,extrapolated,rare,128,0.10558401350138003,0.13822548271138205,1.0,9.804503769483595
bimodal,303,edm,extrapolated,rare,512,0.044761353697497196,0.0853909530167074,1.0,37.006867524340976
bimodal,303,flow,boundary,common,128,0.12191792224475302,0.13369045688615522,1.0,6.89253006833442
bimodal,303,flow,boundary,common,512,0.04723104928698794,0.16699493040928756,1.0,20.597119821174
bimodal,303,flow,boundary,rare,128,0.09994287236319732,0.07417294963606055,0.5,4.961506530360552
bimodal,303,flow,boundary,rare,512,0.1582364329621017,0.11449124698397124,0.5,7.94934868357554
bimodal,303,flow,central,common,128,0.050326018468279964,0.18384867849650258,1.0,74.42538651637727
bimodal,303,flow,central,common,512,0.01066068092372772,0.20399683554816228,1.0,302.3679461894387
bimodal,303,flow,central,rare,128,,0.15937892698415143,0.0,2.8290172152034057
bimodal,303,flow,central,rare,512,,0.09871064371154799,0.0,2.1203198613511396
bimodal,303,flow,extrapolated,common,128,0.10916304875079585,0.33872776032059865,0.5,1.8811538106186116
bimodal,303,flow,extrapolated,common,512,0.3649711737212857,0.5231815603531172,0.5,4.745128664360698
bimodal,303,flow,extrapolated,rare,128,0.05810891116920855,0.15126629308645392,1.0,23.884174948258266
bimodal,303,flow,extrapolated,rare,512,0.0449668563840012,0.22216480219346577,1.0,98.71488941253175
bimodal,303,gaussian_diag,boundary,common,128,0.09918100552276142,0.5325968267394706,1.0,8.162593862000586
bimodal,303,gaussian_diag,boundary,common,512,0.08191133169380505,0.5560016048286508,1.0,23.170344623944544
bimodal,303,gaussian_diag,boundary,rare,128,0.18288443242587574,0.22621473850579077,1.0,3.938021030938844
bimodal,303,gaussian_diag,boundary,rare,512,0.1954244750176631,0.18756600411030477,1.0,6.402065450493449
bimodal,303,gaussian_diag,central,common,128,0.057058307862272804,0.9612193100972636,1.0,74.51183082512723
bimodal,303,gaussian_diag,central,common,512,0.02499499533424665,0.9688175008412266,1.0,303.0756472836758
bimodal,303,gaussian_diag,central,rare,128,0.09082654637555042,0.13697842958652506,1.0,2.0790859757778755
bimodal,303,gaussian_diag,central,rare,512,0.15101072842500565,0.10766025405151998,1.0,2.4471974053707792
bimodal,303,gaussian_diag,extrapolated,common,128,0.14325435132001374,0.7925574086764936,1.0,5.816849751049087
bimodal,303,gaussian_diag,extrapolated,common,512,0.07251526106689622,0.8750601244428807,1.0,12.905987322588556
bimodal,303,gaussian_diag,extrapolated,rare,128,0.11952042961571398,0.13351143698466014,1.0,8.023362967535041
bimodal,303,gaussian_diag,extrapolated,rare,512,0.07859689810738063,0.1602915991636066,1.0,21.193402980865805
bimodal,303,gaussian_rank2,boundary,common,128,0.16202818036120925,0.17543349079834858,1.0,6.197583358966377
bimodal,303,gaussian_rank2,boundary,common,512,0.14783959327782628,0.15396279267571342,1.0,19.116986908560094
bimodal,303,gaussian_rank2,boundary,rare,128,0.22715152852874856,0.21185559463503653,1.0,4.988676577202525
bimodal,303,gaussian_rank2,boundary,rare,512,0.124438834412546,0.279248459106964,1.0,8.299226205962704
bimodal,303,gaussian_rank2,central,common,128,0.036679632977450805,0.31134159142981394,1.0,73.18468437051939
bimodal,303,gaussian_rank2,central,common,512,0.017083421607843225,0.3257823363798565,1.0,295.3162416895322
bimodal,303,gaussian_rank2,central,rare,128,0.6062621821668627,0.15679394545831907,1.0,2.827090613189494
bimodal,303,gaussian_rank2,central,rare,512,0.4876403372670451,0.040477348469842224,1.0,1.4411002440363472
bimodal,303,gaussian_rank2,extrapolated,common,128,0.07707656499683417,0.6492248132805785,1.0,4.816614154656585
bimodal,303,gaussian_rank2,extrapolated,common,512,0.11598282954424848,0.6195920291265348,1.0,8.626637239493656
bimodal,303,gaussian_rank2,extrapolated,rare,128,0.10611422738057558,0.1527150315528488,1.0,8.671152032270482
bimodal,303,gaussian_rank2,extrapolated,rare,512,0.05183037552720182,0.06583570331422123,1.0,34.78025868550317
bimodal,303,gp_rbf,boundary,common,128,0.18825758028423203,0.5139420921247334,1.0,11.051092263209881
bimodal,303,gp_rbf,boundary,common,512,0.0344024869214134,0.6343651089409823,1.0,45.38640764248765
bimodal,303,gp_rbf,boundary,rare,128,0.25253875245575697,0.3118406625578894,1.0,1.9454773804669214
bimodal,303,gp_rbf,boundary,rare,512,0.11498819270572806,0.10362659641028758,1.0,11.32351803723798
bimodal,303,gp_rbf,central,common,128,0.07464206262925097,0.9264733829967738,1.0,82.17325382612653
bimodal,303,gp_rbf,central,common,512,0.018729248363546534,0.958163734225009,1.0,329.304957212078
bimodal,303,gp_rbf,central,rare,128,0.0495196513985816,0.12835235454907043,1.0,1.374523414497095
bimodal,303,gp_rbf,central,rare,512,0.10686736056695594,0.16615802921617326,1.0,2.0800414402880834
bimodal,303,gp_rbf,extrapolated,common,128,0.0980140412054315,0.8372544368533822,1.0,48.53298977637284
